"","Sector Económico","year","mes","caja","morosidad_var","Mes"
"157","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,4,"CMAC Arequipa",13.6092180749022,2019-04-01
"158","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,4,"CMAC Cusco",12.8151737910206,2019-04-01
"159","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,4,"CMAC Huancayo",22.7938849819135,2019-04-01
"160","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,4,"CMAC Piura",9.02566919383236,2019-04-01
"161","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,5,"CMAC Arequipa",13.6227451537355,2019-05-01
"162","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,5,"CMAC Cusco",12.1358658470903,2019-05-01
"163","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,5,"CMAC Huancayo",22.4255342458834,2019-05-01
"164","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,5,"CMAC Piura",9.14341286461458,2019-05-01
"165","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,6,"CMAC Arequipa",13.195549178869,2019-06-01
"166","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,6,"CMAC Cusco",12.2011728832163,2019-06-01
"167","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,6,"CMAC Huancayo",22.8150040130373,2019-06-01
"168","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,6,"CMAC Piura",8.0588267362897,2019-06-01
"169","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,7,"CMAC Arequipa",13.7854557310821,2019-07-01
"170","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,7,"CMAC Cusco",11.8198578287338,2019-07-01
"171","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,7,"CMAC Huancayo",22.1504778024224,2019-07-01
"172","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,7,"CMAC Piura",8.42260303727718,2019-07-01
"173","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,8,"CMAC Arequipa",15.23611072808,2019-08-01
"174","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,8,"CMAC Cusco",11.7023979748079,2019-08-01
"175","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,8,"CMAC Huancayo",22.0216682512207,2019-08-01
"176","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,8,"CMAC Piura",8.13105489433479,2019-08-01
"177","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,9,"CMAC Arequipa",15.1696065868031,2019-09-01
"178","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,9,"CMAC Cusco",12.214315437761,2019-09-01
"179","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,9,"CMAC Huancayo",19.9888611484068,2019-09-01
"180","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,9,"CMAC Piura",6.48538125391902,2019-09-01
"181","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,10,"CMAC Arequipa",15.266711891353,2019-10-01
"182","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,10,"CMAC Cusco",12.2644871201643,2019-10-01
"183","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,10,"CMAC Huancayo",20.7455210048694,2019-10-01
"184","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,10,"CMAC Piura",5.26851219380711,2019-10-01
"185","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,11,"CMAC Arequipa",14.629557104868,2019-11-01
"186","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,11,"CMAC Cusco",11.4348109295282,2019-11-01
"187","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,11,"CMAC Huancayo",20.3716041038905,2019-11-01
"188","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,11,"CMAC Piura",5.03723965149054,2019-11-01
"189","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,12,"CMAC Arequipa",13.7227322343589,2019-12-01
"190","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,12,"CMAC Cusco",10.2246697432178,2019-12-01
"191","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,12,"CMAC Huancayo",19.8575612353927,2019-12-01
"192","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,12,"CMAC Piura",5.09998543547603,2019-12-01
"193","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,1,"CMAC Arequipa",14.3065557939372,2020-01-01
"194","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,1,"CMAC Cusco",10.6420998500145,2020-01-01
"195","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,1,"CMAC Huancayo",18.7316747314375,2020-01-01
"196","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,1,"CMAC Piura",5.02890501253439,2020-01-01
"197","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,2,"CMAC Arequipa",14.1130734375519,2020-02-01
"198","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,2,"CMAC Cusco",10.4379467482217,2020-02-01
"199","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,2,"CMAC Huancayo",17.4697556248512,2020-02-01
"200","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,2,"CMAC Piura",3.8977632592329,2020-02-01
"201","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,3,"CMAC Arequipa",8.64031581935865,2020-03-01
"202","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,3,"CMAC Cusco",7.3047428963618,2020-03-01
"203","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,3,"CMAC Huancayo",12.7869148126673,2020-03-01
"204","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,3,"CMAC Piura",0.0241978745485483,2020-03-01
"205","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,4,"CMAC Arequipa",6.19657054937537,2020-04-01
"206","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,4,"CMAC Cusco",5.31689948285714,2020-04-01
"207","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,4,"CMAC Huancayo",10.2082096578494,2020-04-01
"208","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,4,"CMAC Piura",-1.95858395309708,2020-04-01
"209","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,5,"CMAC Arequipa",3.71024412357974,2020-05-01
"210","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,5,"CMAC Cusco",8.67534915261787,2020-05-01
"211","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,5,"CMAC Huancayo",8.69258963441075,2020-05-01
"212","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,5,"CMAC Piura",-3.04084790787152,2020-05-01
"213","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,6,"CMAC Arequipa",2.26646828184336,2020-06-01
"214","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,6,"CMAC Cusco",11.5929090075059,2020-06-01
"215","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,6,"CMAC Huancayo",7.95103261801315,2020-06-01
"216","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,6,"CMAC Piura",-1.69566500474546,2020-06-01
"217","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,7,"CMAC Arequipa",3.46919031893591,2020-07-01
"218","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,7,"CMAC Cusco",23.3111356772996,2020-07-01
"219","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,7,"CMAC Huancayo",9.95355524777879,2020-07-01
"220","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,7,"CMAC Piura",1.53163399389746,2020-07-01
"221","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,8,"CMAC Arequipa",3.17905584979437,2020-08-01
"222","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,8,"CMAC Cusco",33.5766827919162,2020-08-01
"223","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,8,"CMAC Huancayo",9.81979011761143,2020-08-01
"224","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,8,"CMAC Piura",2.72396909280777,2020-08-01
"225","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,9,"CMAC Arequipa",9.2799590133481,2020-09-01
"226","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,9,"CMAC Cusco",37.3761041955984,2020-09-01
"227","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,9,"CMAC Huancayo",15.7574726802309,2020-09-01
"228","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,9,"CMAC Piura",5.39142447213412,2020-09-01
"229","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,10,"CMAC Arequipa",8.24631034244863,2020-10-01
"230","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,10,"CMAC Cusco",40.3976323088863,2020-10-01
"231","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,10,"CMAC Huancayo",17.0526432582552,2020-10-01
"232","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,10,"CMAC Piura",7.31751967631102,2020-10-01
"233","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,11,"CMAC Arequipa",8.40219111763487,2020-11-01
"234","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,11,"CMAC Cusco",42.348992240627,2020-11-01
"235","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,11,"CMAC Huancayo",16.6703414291724,2020-11-01
"236","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,11,"CMAC Piura",7.81793735963268,2020-11-01
"237","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,12,"CMAC Arequipa",7.58403365379312,2020-12-01
"238","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,12,"CMAC Cusco",44.0097837629056,2020-12-01
"239","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,12,"CMAC Huancayo",17.9496305682495,2020-12-01
"240","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2020,12,"CMAC Piura",7.73636882416271,2020-12-01
"241","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,1,"CMAC Arequipa",6.5139135422591,2021-01-01
"242","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,1,"CMAC Cusco",43.5485957733076,2021-01-01
"243","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,1,"CMAC Huancayo",17.9256259992715,2021-01-01
"244","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,1,"CMAC Piura",6.91103807490552,2021-01-01
"245","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,2,"CMAC Arequipa",6.26213361155838,2021-02-01
"246","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,2,"CMAC Cusco",43.4549901676012,2021-02-01
"247","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,2,"CMAC Huancayo",17.3955161502579,2021-02-01
"248","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,2,"CMAC Piura",5.22126203778865,2021-02-01
"249","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,3,"CMAC Arequipa",12.14075062433,2021-03-01
"250","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,3,"CMAC Cusco",47.8059958988245,2021-03-01
"251","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,3,"CMAC Huancayo",20.5994711943046,2021-03-01
"252","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,3,"CMAC Piura",7.26035397624618,2021-03-01
"253","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,4,"CMAC Arequipa",16.1863037542645,2021-04-01
"254","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,4,"CMAC Cusco",50.5602892587439,2021-04-01
"255","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,4,"CMAC Huancayo",22.6349539484813,2021-04-01
"256","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,4,"CMAC Piura",9.28856482124969,2021-04-01
"257","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,5,"CMAC Arequipa",20.0003873044349,2021-05-01
"258","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,5,"CMAC Cusco",46.5837798239526,2021-05-01
"259","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,5,"CMAC Huancayo",25.124324185708,2021-05-01
"260","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,5,"CMAC Piura",9.83701975137803,2021-05-01
"261","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,6,"CMAC Arequipa",22.891015903853,2021-06-01
"262","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,6,"CMAC Cusco",43.2137899161549,2021-06-01
"263","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,6,"CMAC Huancayo",26.4233566467537,2021-06-01
"264","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,6,"CMAC Piura",8.02350777899845,2021-06-01
"265","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,7,"CMAC Arequipa",21.7049676349133,2021-07-01
"266","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,7,"CMAC Cusco",29.7609315295096,2021-07-01
"267","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,7,"CMAC Huancayo",24.5056178313894,2021-07-01
"268","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,7,"CMAC Piura",4.88062490290138,2021-07-01
"269","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,8,"CMAC Arequipa",21.2115836339953,2021-08-01
"270","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,8,"CMAC Cusco",19.4739579650983,2021-08-01
"271","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,8,"CMAC Huancayo",24.6013781634038,2021-08-01
"272","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,8,"CMAC Piura",3.76458087757816,2021-08-01
"273","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,9,"CMAC Arequipa",14.8841963589954,2021-09-01
"274","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,9,"CMAC Cusco",16.1928535450729,2021-09-01
"275","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,9,"CMAC Huancayo",21.1632077728765,2021-09-01
"276","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2021,9,"CMAC Piura",3.25909753975535,2021-09-01
