"","concepto","CMAC                      Arequipa","CMAC                      Cusco","CMAC Huancayo","CMAC                            Piura","year","mes"
"121","Ratio de Capital Global",14.66,14.74,14.07,14.34,2019,5
"122","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.4369977029979,15.7278423608381,19.0522771687765,10.585153322162,2019,5
"123","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.41099206763725,2.34167292101739,2.4842680226331,1.1169945060747,2019,5
"124","Ratio de Capital Global",14.68,14.78,13.95,14.63,2019,6
"125","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.32789198783,15.5149703884465,18.9383032607221,11.1047850083307,2019,6
"126","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.3966146011543,2.30484338343834,2.45144279674141,1.16670049848674,2019,6
"127","Ratio de Capital Global",14.64,14.72,13.93,14.37,2019,7
"128","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.02905277392,15.4032029478487,19.0676190212552,11.6341911153925,2019,7
"129","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.36122207007108,2.28275806692743,2.44857130563485,1.21685535114264,2019,7
"130","Ratio de Capital Global",14.55,14.74,13.93,14.28,2019,8
"131","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.8190763679322,15.0884926702465,19.2459577858944,11.8128300102112,2019,8
"132","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.3353804030817,2.22987806013129,2.45916739321355,1.23022511080217,2019,8
"133","Ratio de Capital Global",14.36,14.62,13.92,15.8,2019,9
"134","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.6719677900612,14.8386244837458,19.3632674170582,11.7108990339646,2019,9
"135","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.31562600281516,2.18706352198011,2.4618232124272,1.21385124549987,2019,9
"136","Ratio de Capital Global",14.22,14.49,13.61,15.4,2019,10
"137","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.6175826711826,14.6807284829647,18.9687778145489,12.0053511092194,2019,10
"138","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.30866223194973,2.16008136872906,2.39751502539987,1.24082491898059,2019,10
"139","Ratio de Capital Global",14.14,14.31,13.29,15.21,2019,11
"140","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.7419994040498,14.7299018501585,18.4874782549624,11.76665725606,2019,11
"141","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.32426479514071,2.16346905555917,2.32156697205674,1.21195867976116,2019,11
"142","Ratio de Capital Global",14.36,14.14,13.21,15.85,2019,12
"143","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.1244405097086,15.291926043236,17.8522540637374,12.2884397701221,2019,12
"144","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.37084894518205,2.24221665628489,2.22921126460007,1.26227933944381,2019,12
"145","Ratio de Capital Global",14.17,14.2,13.25,16.04,2020,1
"146","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.0079865086274,14.9964484920241,17.7549997163937,11.8561840321357,2020,1
"147","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.35509716515697,2.18844360771607,2.20464169179048,1.21460725506652,2020,1
"148","Ratio de Capital Global",14.1,14.05,13.17,16.08,2020,2
"149","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.955422614376,14.6204912248795,17.572969998936,11.5502417371603,2020,2
"150","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.34614529861573,2.12245236551383,2.16998065568858,1.1806561427369,2020,2
"151","Ratio de Capital Global",14.32,14.36,13.21,16.44,2020,3
"152","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",17.8901240042772,13.7994623323669,14.3061651097553,11.9641175912655,2020,3
"153","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.21651877734778,1.99875643827909,1.75546251243509,1.2218455481143,2020,3
"154","Ratio de Capital Global",14.57,14.4,13.76,16.6,2020,4
"155","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",16.4358074080176,10.324659509401,15.9620240332566,12.0581038464416,2020,4
"156","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.03544859369612,1.49302521246626,1.95924813032229,1.23133763641061,2020,4
"157","Ratio de Capital Global",14.74,14.51,13.83,15.79,2020,5
"158","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",15.0267922036864,9.0107105051426,14.3869067497633,10.740451604658,2020,5
"159","Utilidad Neta Anualizada sobre Activo Promedio (%)",1.86270344230251,1.29710317842407,1.7662291464396,1.0973212060926,2020,5
"160","Ratio de Capital Global",14.9,15.32,14.23,16.99,2020,6
