"","Edad","EstadoCivil","MiembrosHogar","Educacion","Sexo","Ingresos","Ahorro"
"5498",34,"2",7,"2","0","2","Control"
"5502",41,"2",6,"2","0","2","Control"
"5517",52,"3",1,"2","0","1","Control"
"5518",61,"3",5,"1","1","0","Control"
"5519",58,"3",2,"1","1","1","Control"
"5523",66,"2",3,"2","0","1","Control"
"5524",41,"2",4,"3","0","2","Case"
"5525",35,"2",3,"3","1","1","Control"
"5526",49,"2",9,"2","0","2","Control"
"5527",43,"3",2,"3","1","1","Control"
"5533",51,"2",4,"2","0","2","Case"
"5537",57,"2",3,"2","0","2","Control"
"5538",50,"2",5,"2","1","1","Control"
"5540",51,"2",4,"3","0","1","Case"
"5541",57,"2",3,"3","0","2","Case"
"5542",42,"3",3,"1","1","2","Case"
"5543",42,"2",2,"3","0","3","Case"
"5544",42,"2",6,"3","0",NA,"Case"
"5549",69,"2",3,"2","0","2","Case"
"5552",30,"3",3,"3","1","2","Control"
"5577",70,"2",5,"3","0","3","Control"
"5582",57,"2",3,"3","0","3","Case"
"5585",35,"2",3,"3","0","3","Case"
"5588",57,"3",1,"3","0","3","Case"
"5590",37,"2",4,"3","0","3","Case"
"5595",68,"2",5,"1","0","1","Control"
"5596",38,"2",2,"3","0","2","Case"
"5597",54,"1",8,"2","0","1","Case"
"5598",69,"2",4,"1","0","2","Case"
"5602",38,"2",5,"3","0","3","Case"
"5603",52,"1",2,"3","0","1","Case"
"5608",41,"3",8,"3","1",NA,"Control"
"5609",49,"2",3,"2","0","1","Case"
"5611",34,"2",3,"2","0","2","Control"
"5612",53,"3",5,"2","1","2","Control"
"5623",38,"3",4,"3","1","2","Control"
"5624",62,"2",6,"2","0","3","Case"
"5648",50,"1",1,"3","0","3","Case"
"5649",55,"3",3,"2","0","2","Case"
"5650",32,"1",1,"3","0","3","Case"
"5651",58,"3",2,"3","1","2","Control"
"5652",39,"3",2,"3","1","3","Case"
"5653",50,"3",3,"3","0","3","Case"
"5662",35,"2",2,"3","1","3","Case"
"5663",33,"2",5,"2","1","2","Case"
"5664",62,"3",2,"2","1","2","Case"
"5665",46,"2",4,"3","0","3","Case"
"5666",68,"3",3,"2","0","2","Case"
"5668",56,"2",3,"3","0","3","Case"
"5678",68,"3",1,"3","1","2","Case"
"5681",48,"2",3,"3","1","3","Case"
"5682",25,"2",2,"3","0","3","Case"
"5685",56,"1",1,"3","1",NA,"Case"
"5689",65,"3",5,"3","1","1","Case"
"5692",27,"1",3,"3","0","1","Control"
"5697",32,"1",2,"2","1",NA,"Case"
"5701",42,"1",5,"2","1","1","Control"
"5706",46,"2",5,"3","0","2","Case"
"5712",52,"2",3,"3","0","3","Case"
"5713",51,"2",5,"2","0","3","Case"
"5715",64,"3",3,"3","1","2","Case"
"5718",33,"2",4,"2","0","2","Case"
"5719",40,"2",4,"1","1","3","Case"
"5727",33,"1",1,"2","0","3","Case"
"5730",32,"2",4,"2","0","3","Case"
"5731",63,"3",1,"2","0","2","Case"
"5733",34,"2",3,"2","1","3","Case"
"5734",54,"2",2,"1","0","1","Case"
"5736",63,"2",5,"2","1","2","Case"
"5737",37,"2",4,"2","1","3","Case"
"5740",49,"2",4,"3","0","3","Case"
"5741",38,"1",1,"3","0","0","Case"
"5742",66,"2",2,"2","0","0","Case"
"5744",49,"1",3,"3","0","1","Case"
"5745",40,"1",1,"2","1","0","Case"
"5747",59,"2",4,"2","0","0","Case"
"5749",25,"2",4,"2","0","3","Case"
"5752",56,"2",7,"3","0","3","Case"
"5753",51,"3",4,"3","1",NA,"Control"
"5754",69,"2",6,"3","0","2","Case"
"5757",63,"2",5,"3","0","2","Case"
"5759",43,"3",2,"1","1","2","Case"
"5760",41,"2",4,"3","1","2","Case"
"5761",62,"2",2,"3","0","2","Case"
"5777",53,"2",4,"3","0","3","Case"
"5780",64,"2",4,"1","0","3","Case"
"5843",53,"2",4,"3","0","1","Case"
"5855",60,"3",6,"3","0",NA,"Control"
"5859",41,"2",4,"3","0",NA,"Control"
"5860",49,"3",4,"2","1",NA,"Case"
"5861",47,"3",2,"2","1",NA,"Control"
"5862",68,"2",2,"2","0","1","Control"
"5865",53,"2",4,"2","0","3","Case"
"5867",65,"2",2,"1","0",NA,"Control"
"5868",43,"2",8,"2","0","1","Control"
"5874",51,"2",7,"2","0","3","Case"
"5875",48,"3",2,"1","1","1","Control"
"5877",47,"3",4,"2","1","1","Control"
"5878",68,"2",3,"2","0",NA,"Control"
"5879",62,"2",2,"3","0",NA,"Control"
"5880",47,"3",3,"3","1","1","Case"
"5881",35,"2",4,"2","0","3","Case"
"5883",70,"3",1,"3","0","1","Case"
"5884",38,"1",3,"2","0","2","Case"
"5891",68,"2",2,"1","0","0","Control"
"5894",56,"2",4,"2","0",NA,"Control"
"5897",25,"1",3,"3","0","3","Case"
"5898",36,"1",1,"3","0","2","Control"
"5899",65,"3",2,"1","0",NA,"Case"
"5905",58,"3",7,"2","0","0","Control"
"5906",24,"2",3,"2","0","2","Control"
"5907",69,"2",2,"2","0",NA,"Control"
"5912",29,"2",5,"3","0","2","Case"
"5914",63,"2",4,"2","0","1","Control"
"5916",69,"2",4,"1","0",NA,"Control"
"5919",57,"2",4,"3","0","2","Control"
"5920",69,"3",2,"3","0",NA,"Control"
"5922",67,"2",4,"1","0","2","Control"
"5923",60,"2",2,"2","0","2","Case"
"5928",38,"3",6,"2","1","2","Case"
"5930",49,"2",4,"1","0","2","Control"
"5934",46,"2",4,"2","0","2","Case"
"5935",70,"2",2,"3","0","3","Case"
"5937",42,"2",4,"3","0","3","Case"
"5942",63,"2",2,"3","0","3","Case"
"5945",38,"2",4,"3","0","2","Control"
"5948",47,"2",4,"3","0","3","Case"
"5949",39,"2",4,"2","0","2","Control"
"5952",24,"2",3,"2","0","1","Control"
"5953",59,"2",2,"2","0","0","Control"
"5957",68,"2",2,"2","0","1","Control"
"5959",41,"2",3,"2","1",NA,"Control"
"5962",68,"2",3,"1","0","1","Control"
"6099",40,"2",4,"2","0","1","Control"
"6104",37,"3",5,"1","1","1","Control"
"6107",52,"3",8,"2","1","1","Control"
"6111",52,"2",4,"2","0","1","Control"
"6118",31,"2",4,"3","0","2","Case"
"6121",57,"3",4,"2","1","1","Control"
"6123",66,"2",3,"2","1","2","Case"
"6127",55,"2",2,"3","0","3","Case"
"6132",52,"2",4,"3","0","3","Case"
"6133",32,"1",4,"1","1","2","Control"
"6135",60,"3",1,"1","0","1","Case"
"6150",30,"2",2,"3","0","3","Case"
"6153",55,"2",2,"3","0","3","Case"
"6158",30,"2",2,"3","0","3","Case"
"6162",66,"3",3,"1","1","0","Control"
"6163",26,"2",4,"2","0","2","Control"
"6164",55,"2",6,"3","0","2","Control"
"6165",67,"2",4,"2","0","3","Control"
"6171",51,"2",5,"3","0","3","Control"
"6174",40,"2",3,"3","1","3","Control"
"6175",59,"1",1,"2","0",NA,"Control"
"6179",58,"2",4,"3","1","3","Control"
"6183",57,"3",7,"2","1",NA,"Case"
"6189",48,"2",8,"3","0","3","Case"
"6190",48,"2",8,"3","0","3","Control"
"6197",18,"1",2,"2","0","2","Control"
"6201",60,"3",1,"3","1","3","Case"
"6202",30,"2",3,"3","0","3","Case"
"6206",29,"2",2,"3","0","3","Case"
"6208",35,"2",3,"3","0","3","Case"
"6216",60,"2",5,"3","0",NA,"Case"
"6270",68,"3",2,"3","0","3","Case"
"6271",43,"2",4,"3","0","3","Case"
"6273",44,"2",2,"3","0","3","Case"
"6274",48,"3",2,"3","0","3","Case"
"6275",26,"2",2,"3","0","2","Case"
"6276",36,"2",3,"3","0","3","Case"
"6277",30,"1",1,"3","1","3","Case"
"6278",46,"2",2,"3","0","3","Case"
"6279",50,"2",5,"3","0","3","Case"
"6283",66,"2",2,"3","0",NA,"Case"
"6285",59,"2",3,"3","0","3","Case"
"6287",42,"2",4,"3","0","3","Case"
"6290",30,"1",3,"3","0","3","Case"
"6291",68,"2",4,"2","0","2","Case"
"6292",28,"1",1,"3","0","3","Case"
"6294",40,"1",2,"3","1","2","Case"
"6297",37,"2",5,"2","1","0","Control"
"6302",65,"3",8,"3","0","0","Case"
"6304",54,"2",4,"3","0","3","Case"
