"","Departamento","year","alumnosMatriculados","analfabetismo","compLectora","docentes","gastoPublico","matematica","pbiRegiones","pobTot","pobUrb","tasaConclusion","tasaDesnutricion","tasaMatricula","deaNaive","deaRobust","ciLow","ciHigh","docAlum","nivelUrb"
"25","Huancavelica","2015",45.658,14.3456099582287,3.3539076375741,10049,4252.79456876078,3.79428360047702,8.68585319407542,369070.6,101872.2,44.2034762408579,33.9789744028034,86.2912886642384,0.941088690123353,0.913771073532144,0.904869540262971,0.929200711911962,10.71802,27.6023611742577
"26","Huancavelica","2016",44.502,12.6385022225649,3.96511361105357,10525,4247,4.6254572038984,8.54523355488001,358354.8,103867.1,42.5898242340852,33.3993794190092,86.1476288378577,0.92862777025002,0.898231988691142,0.888651299105797,0.915147628493976,9.08684527479764,28.9844310722223
"27","Huancavelica","2018",40.829,12.4430495113316,5.55002280014203,10875,5671.00926703656,6.01964946363453,9.3759351902828,336923.2,107856.9,44.0943059673862,31.98976930514,85.1177907046037,0.941219827678976,0.921605098795362,0.915933481298913,0.932988261369963,8.4323129347463,32.0123102238136
"28","Huánuco","2015",62.567,12.7183301337169,5.90013907455116,12092,2781.67536946831,3.63278379837765,13.6039314561707,729282.2,353923.4,37.2893698881061,24.1860167682614,75.0510447247981,0.838241861314075,0.805824246421652,0.790907208266344,0.832112333730242,12.6379,48.5303768554888
"29","Huánuco","2016",64.956,13.3694875401333,5.59109692602395,13014,3001,5.8364414290861,14.2168737183937,725164.6,364677.7,36.496317743163,19.1786928133029,75.4190939029364,0.8294095959521,0.791643121200328,0.773330233319337,0.821814785478529,11.1874257688911,50.2889550868865
"30","Huánuco","2018",65.657,12.8909239350155,7.26755616954749,13815,3964.21934657197,6.17576071787154,15.9836539510044,716929.4,386186.3,36.6002872680324,22.4446709527359,77.6322426751262,0.85769211614091,0.836448679996703,0.828400779670584,0.850843871188229,11.685434315971,53.8667126777058
"31","Ica","2015",46.258,2.72516947734037,16.5252926139223,9207,2641.2617972265,11.7969354759236,40.680494051751,822998.4,754456,47.8969558836591,6.67936532113867,88.7332715289292,1,0.946755460322284,0.914558878741154,1.00591654879984,10.44773,91.6716241489655
"32","Ica","2016",48.395,3.07703151153053,15.4023517449543,9649,2657,13.318635324832,40.7592455178687,836881.7,770436.5,49.0971094707053,7.06078619859795,88.196891199497,1,0.914322354874477,0.851831577340797,1.02451532358446,9.51774129001021,92.0603832058939
"33","Ica","2018",51.115,1.9867992951243,17.5482550288406,10145,3464.21923405903,16.4211784963853,45.1759979574088,864648.3,802397.5,47.6202554193295,5,90.161581988243,1,0.959623978772739,0.935218845449158,0.991314121304044,11.4398165499193,92.8004484597957
"34","Junín","2015",92.28,5.79772785016568,13.3272650499932,17711,3327.57458951536,11.5510964868193,38.3328705587604,1241925.2,858409.8,43.5565109505843,19.8462559819819,82.2711640245868,0.897245402002078,0.859813333553213,0.840352385767551,0.885777579231183,10.97322,69.1192835124048
"35","Junín","2016",93.013,6.04142893682616,13.9758945040922,18794,3580,15.4933214922873,37.9933163649323,1243981.6,871668.9,43.2415777352552,20.5242321596207,81.8196648723343,0.888942866737734,0.840631961179499,0.813375252659938,0.874988668239981,10.0397926584181,70.0708836850963
"36","Junín","2018",90.027,6.34342228422722,17.3943647887208,19355,4151.00169820402,19.6379723769729,41.1175606992683,1248094.4,898187.1,43.5041614379311,19.2246505164519,84.5450308458033,0.934993324759309,0.904746557959701,0.889421868197191,0.927418895578537,10.5496623363551,71.9646767103514
"37","La Libertad","2015",108.218,6.03501304955568,14.7400852991084,20326,2781.1790713438,8.95530769692233,53.9231661227736,1745874,1359753.6,38.1596114666795,15.9350263123511,81.5983753938374,0.911397518755356,0.873821689151774,0.855164527399192,0.906540989022502,12.00117,77.8838335412521
"38","La Libertad","2016",112.4,5.1560996191808,14.6716738917038,21706,3560,11.078755463712,54.3849087615993,1761977,1381654.3,40.6631028665786,12.1703860600943,78.6012480286819,0.85177773301824,0.810560073107023,0.789632204361158,0.83774570005173,10.8774028142525,78.4150020119445
"39","La Libertad","2018",117.442,5.55417528622859,14.9457201556264,22686,3643.78358471286,12.2802708677986,58.0643761984931,1794183,1425455.7,40.5315511061469,14.7688595870096,81.9807314150679,0.90799377724654,0.87906846361867,0.864147999246615,0.90104789041473,12.3122876397953,79.4487351624667
"40","Lambayeque","2015",66.522,5.83182532917707,13.8,11080,3040.42893598927,9.7,28.7492825664308,1180381.6,952944.2,46.8776540011757,14.1456026361072,79.2119301125196,0.886050241124871,0.845015401287426,0.822042602438675,0.876172661551705,11.99712,80.7318751834153
