"","Departamento","year","alumnosMatriculados.xlsx","analfabetismo.xlsx","compLectora.xlsx","docentes.xlsx","gastoPublico.xlsx","matematica.xlsx","pbiRegiones.xlsx","pobTot.xlsx","pobUrb.xlsx","tasaConclusion.xlsx","tasaDesnutricion.xlsx","tasaMatricula.xlsx","deaNaive","deaRobust","ciLow","ciHigh"
"74","Tumbes","2016",15.113,3.02809576271565,9.00144135936199,3870,4250,4.9627450366387,11.2732585666028,222407.3,207633,48.1245978711644,7.3520634124962,91.4451056389471,0.987965745008583,0.949493790043978,0.934046006816154,0.973418202382127
"77","Ucayali","2016",38.015,4.73599117897773,6.00014655170862,8061,2601,3.1986900058405,8.52326086823433,490029,393759.1,49.3070500097736,24.834365099337,80.0459445995845,1,0.898395492122426,0.820265694813499,1.05903113261458
"3","Amazonas","2018",39.46,8.42415706792635,8.2931622959513,9352,4595.00532526877,8.02005376693267,8.21154941587699,379723.1,160362.6,38.4774147620209,20.3739057682035,82.7841899987082,0.910154213503167,0.888823034190088,0.881333796979017,0.899181822465043
"6","Áncash","2018",81.78,9.56300906895458,11.8268923474743,19514,4938.95275138483,10.2043778951319,19.089412035651,1085525,696369.8,43.6259869636181,16.3993820439228,85.0892300832543,0.94012982810505,0.919133132952247,0.911817155121344,0.929871138505504
"9","Apurímac","2018",41.546,14.0364469649059,7.3835011123437,9738,5336.94027778682,6.55299198929397,17.5682204121593,405915.9,191147.1,41.4785909828944,20.1016892866736,86.767620337527,0.953757429630864,0.932969650363854,0.926300947967872,0.942139427433665
"12","Arequipa","2018",70.761,3.5465180535277,27.4687336612144,14155,4786.58278967912,25.6532228017491,22.4127229103254,1405772.7,1296135.6,43.166762078255,5.3,90.1865607757113,0.994915500565354,0.955245821400565,0.931060869482537,1.0044076096025
"15","Ayacucho","2018",58.336,11.8598251652273,10.1928768592357,14270,5523.77594233911,9.24110560827978,9.34202013252243,616544.7,365038.1,43.01752941091,20.2149398619769,84.3668390313531,0.931759158770382,0.911961914361458,0.905746764924526,0.92160451108364
"18","Cajamarca","2018",119.322,11.5018294047409,8.57497699268155,28020,4400.42331505533,8.65874328611819,8.38773035718735,1336332.3,483484.9,31.9357143873988,27.3862714146204,79.581951359715,0.876265177523417,0.856023871779785,0.848997887912046,0.866731674891809
"21","Callao","2018",48.702,1.97073324149085,20.6901372809108,7303,2798.88396766002,16.7463257286614,22.0896120141233,1006255.7,1006255.7,52.8850444290719,5.99820807816161,87.2307161834533,1,0.939685690656342,0.894766636314896,1.03060633196374
"24","Cusco","2018",103.02,10.6095890889807,12.4334539291336,20430,4953.40558636178,11.2617902579167,17.9494456049658,1208939.4,747585.6,39.249006361337,14.0138020495675,85.592826299664,0.939440352585864,0.91634780529979,0.907818697191745,0.926907024390488
"27","Huancavelica","2018",40.829,12.4430495113316,5.55002280014203,10875,5671.00926703656,6.01964946363453,10.4631738034068,336923.2,107856.9,44.0943059673862,31.98976930514,85.1177907046037,0.941219827678976,0.921412365742267,0.915500295450656,0.932184360743893
"30","Huánuco","2018",65.657,12.8909239350155,7.26755616954749,13815,3964.21934657197,6.17576071787154,8.38261340656416,716929.4,386186.3,36.6002872680324,22.4446709527359,77.6322426751262,0.85769211614091,0.836214194694709,0.827747232164009,0.849671167584015
"33","Ica","2018",51.115,1.9867992951243,17.5482550288406,10145,3464.21923405903,16.4211784963853,19.6448185927157,864648.3,802397.5,47.6202554193295,5,90.161581988243,1,0.960624295430918,0.93756602212153,0.990774619461583
"36","Junín","2018",90.027,6.34342228422722,17.3943647887208,19355,4151.00169820402,19.6379723769729,12.3868154524209,1248094.4,898187.1,43.5041614379311,19.2246505164519,84.5450308458033,0.934993324759309,0.904715623277499,0.888814456144061,0.926409429182056
"39","La Libertad","2018",117.442,5.55417528622859,14.9457201556264,22686,3643.78358471286,12.2802708677986,12.1681004668977,1794183,1425455.7,40.5315511061469,14.7688595870096,81.9807314150679,0.90799377724654,0.879347094744106,0.864514180407705,0.900632028255931
"42","Lambayeque","2018",71.051,6.13132475561448,14.4150978345373,12159,3269.72548907659,12.4408166907599,9.81639533309801,1205699.2,980209.4,44.0506288097522,9.3,82.2242324119827,0.920714401923733,0.887009583318448,0.86812548437749,0.920857705470493
"45","Loreto","2018",83.497,6.41079887873306,24.9842919515266,19583,3867.40993302811,1.85478780783836,10.1182773796126,882687.8,611610.5,46.9700136068756,19.9686843295509,74.1319741394813,0.94938954432349,0.907421084226088,0.880433955741856,0.953789023674316
"48","Madre de Dios","2018",12.496,4.31839452066662,15.0328830150153,2398,7172.35952056586,6.70946651311701,15.6394573624598,144221.5,120845.2,47.5295521099639,7,87.444519564554,0.970849872745087,0.942218022333758,0.928459555670997,0.95860048560619
"51","Moquegua","2018",11.644,4.58882796747916,4.0676460767362,3173,5744.24102936512,31.3399768505941,49.8447467592908,176196,154631.3,38.5588900075563,2.3,91.7638300346568,1,0.953045217298572,0.922059207227217,1.01057504527228
"54","Pasco","2018",20.519,6.27377555111483,8.12508138706295,6066,5760.52877693977,12.6314168576833,21.228982931798,251426.6,160009.7,44.240762765849,19.3303182480498,85.6100185275712,0.946472915803016,0.925496571369642,0.918649686267411,0.936627058941514
"57","Piura","2018",134.198,7.97927425501054,30.1529222592827,23283,3279.37482071017,11.4259254823672,10.5482867399479,1874858.4,1496655.2,41.0547606398848,13.1367748713774,83.5641010733823,1,0.9394124659092,0.894193628943494,1.02768875761047
"60","Provincia de Lima","2018",360.185,1.76304689275228,11.7760114172519,54847,4384.15860610506,20.1857999151809,22.4891543917287,8671897.2,8664972.1,47.4601006396007,4.51728548718754,88.7622077800526,0.984132587538554,0.950394125225855,0.93207558093835,0.974684997722145
"63","Puno","2018",91.023,8.74626908466946,13.6061536880113,22339,5035.27790896299,10.5793191819824,8.3101041970984,1163122.6,636877.8,42.5728281089242,14.964711481169,90.5366937812852,0.994140766027304,0.969782177543778,0.960921464722766,0.981154620259314
"66","Región Lima","2018",59.972,4.37799848749412,10.0793676616776,13146,4224.40220243849,13.8639758364313,18.725350049568,917527.2,770689.2,50.4958083951244,6.74774058647612,89.8048022097432,1,0.961934085696271,0.940139968803017,0.988328177926753
"69","San Martín","2018",72.572,7.31357115252317,7.89587738133264,14746,3612.62129403097,6.10861826961658,7.37640969032473,821838.3,566729.8,39.4059682140461,10.5391478523394,80.1484724361665,0.887915590093721,0.862209230615478,0.849982118323543,0.882320230701052
"72","Tacna","2018",22.126,3.22333349572742,31.1072116070463,4579,4534.83284354262,30.9709255067709,21.3303064215742,333387.1,301574,46.5690370747405,1.3,90.4815725005495,1,0.937931111387137,0.891165814578557,1.02650443709985
"75","Tumbes","2018",16.015,2.99893424193421,9.31516301031127,4244,4874.58353335845,6.09523438315497,12.1643709910359,227318.7,213551,49.2493320632819,8.08214163366788,88.5084236347025,0.984658997424086,0.953512879364035,0.937187354345693,0.974708950583185
"78","Ucayali","2018",42.54,4.47616961005004,6.63936839814676,8772,3243.25236566202,4.05808139495573,8.82946932623303,502889,410528.9,49.202109028467,17.7669258392644,78.1480790335877,0.930359604679081,0.891748915491025,0.866822290202171,0.939936604831035
